name,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths01,NewDeaths02,TotalRecovered,NewRecovered,ActiveCases,Critical,TotCases,Deaths,TotalTests,Tests,WHORegion
CaymanIslands,North America,65798,203,1,1,0,5,202,0,0,,3085,15,31108,472780,
Gibraltar,Europe,33690,190,1,0,0,4,184,0,6,,5640,,23063,684565,
PapuaNewGuinea,Australia/Oceania,8963009,163,1,3,0,1,53,0,107,,18,0.3,10808,1206,WesternPacific
SintMaarten,North America,42924,160,1,16,1,4,64,0,80,3,3728,373,1115,25976,
Bermuda,North America,62254,157,1,9,0,1,144,0,4,,2522,145,26352,423298,Americas
Brunei ,Asia,437893,141,1,3,0,5,138,0,0,,322,7,41148,93968,
Barbados,North America,287411,133,1,7,0,0,100,0,26,,463,24,12233,42563,Americas
TurksandCaicos,North America,38768,129,1,2,0,3,39,0,88,3,3327,52,1252,32295,
Seychelles,Africa,98408,126,1,0,0,1,124,0,2,,1280,,,,Africa
Monaco,Europe,39270,125,1,4,0,1,105,0,16,2,3183,102,38209,972982,Europe
Bhutan,Asia,772443,105,1,0,0,4,93,0,12,,136,,54589,70671,South-EastAsia
AntiguaandBarbuda,North America,98010,92,1,3,0,1,76,0,13,1,939,31,1500,15305,Americas
Liechtenstein,Europe,38139,89,1,1,0,5,85,0,3,,2334,26,900,23598,Europe
Belize,North America,398312,86,1,2,0,5,31,0,53,2,216,5,3679,9236,Americas
FrenchPolynesia,Australia/Oceania,281072,64,1,0,0,2,62,0,2,,228,,5849,20810,
St.VincentGrenadines,North America,110976,56,1,0,0,4,46,0,10,,505,,2447,22050,
SaintMartin,North America,38729,53,1,3,0,4,41,0,9,1,1368,77,1183,30546,
Macao,Asia,650193,46,1,0,0,1,46,0,0,,71,,4071,6261,
Curaçao,North America,164161,31,2,1,0,4,28,0,2,,189,6,1080,6579,
Fiji,Australia/Oceania,897095,27,1,1,0,1,18,0,8,,30,1,6693,7461,WesternPacific
SaintLucia,North America,183712,25,1,0,0,4,24,0,1,,136,,3895,21202,Americas
TimorLeste,Asia,1320812,25,1,0,0,2,24,0,1,,19,,4238,3209,South-EastAsia
Grenada,North America,112576,24,1,0,0,3,23,0,1,,213,,6252,55536,Americas
NewCaledonia,Australia/Oceania,285769,22,1,0,0,5,22,0,0,,77,,11099,38839,
Laos,Asia,7285750,20,1,0,0,2,19,0,1,,3,,29374,4032,WesternPacific
Dominica,North America,72004,18,1,0,0,1,18,0,0,,250,,1005,13958,Americas
SaintKittsandNevis,North America,53237,17,1,0,0,1,16,0,1,,319,,1146,21526,Americas
Greenland,North America,56780,14,2,0,0,1,14,0,0,,247,,5977,105266,Europe
Montserrat,North America,4992,13,1,1,1,3,10,0,2,,2604,200,61,12220,
CaribbeanNetherlands,North America,26247,13,1,0,0,1,7,0,6,,495,,424,16154,
FalklandIslands,South America,3489,13,1,0,0,1,13,0,0,,3726,,1816,520493,
VaticanCity,Europe,801,12,1,0,0,0,12,0,0,,14981,,,,Europe
WesternSahara,Africa,598682,10,1,1,0,2,8,0,1,,17,2,,,Africa
